points0.pts
zone0.inf
 66 136
 31
SS_QA0
SS_QA1
SS_QA2
SS_QA3
SS_QA4
SS_QA5
SS_QA6
SS_QA7
SS_QA8
SS_QA9
SS_QA10
SS_QA11
SS_QA12
SS_QA13
SS_QA14
SS_QA15
SS_QA16
SS_QA17
SS_QA18
SS_QA19
SS_QA20
SS_QA21
SS_QA22
SS_QA23
SS_QA24
SS_QA25
SS_QA26
SS_QA27
SS_QA28
SS_QA29
SS_QA30
 75 1 11 0.00000000E+00 1 0.811317444 2 3.40263434E-02 3 -1.82794295E-02 4 0.137006357 5 1.85522176E-02 6 -1.92880612E-02 7 -8.72309320E-03 9 1.27049685E-02 8 1.15231378E-03 10 1.95368379E-02 11 1.19941086E-02
 76 1 11 0.00000000E+00 1 0.731938601 2 5.63415587E-02 3 -1.86976846E-02 4 0.191290870 5 2.39898600E-02 6 -2.36263666E-02 7 -1.14296190E-02 9 1.31817944E-02 8 1.59905443E-03 10 2.25111768E-02 11 1.29007613E-02
 139 1 11 0.00000000E+00 1 0.958789587 2 -1.91669678E-03 3 -2.92066298E-03 4 2.51592640E-02 5 6.17563538E-03 6 -7.66171794E-03 7 -1.15002948E-03 9 8.12144578E-03 8 2.21372378E-04 10 8.85063503E-03 11 6.33115508E-03
 140 1 11 0.00000000E+00 1 0.891187906 2 3.09369378E-02 3 -1.22093437E-02 4 7.47630373E-02 5 8.01601820E-03 6 -9.70869139E-03 7 -5.16267214E-03 9 6.05003815E-03 8 4.18473384E-04 10 9.63744428E-03 11 6.07086904E-03
 141 1 11 0.00000000E+00 1 0.784793854 2 7.75926411E-02 3 -1.33242253E-02 4 0.135546297 5 1.14850001E-02 6 -1.38002280E-02 7 -8.64475965E-03 9 6.17381791E-03 8 6.08592876E-04 10 1.24332383E-02 11 7.13574793E-03
 142 1 11 0.00000000E+00 1 0.689414322 2 0.102461509 3 -1.02589093E-02 4 0.199550822 5 1.63803268E-02 6 -1.86024159E-02 7 -1.13929445E-02 9 7.16780080E-03 8 8.88836803E-04 10 1.58856083E-02 11 8.50502774E-03
 143 1 11 0.00000000E+00 1 0.610187709 2 0.108480111 3 -7.12965243E-03 4 0.262983352 5 2.31677182E-02 6 -2.39058062E-02 7 -1.35420244E-02 8 1.36980263E-03 9 8.70653149E-03 10 1.97399724E-02 11 9.94230155E-03
 144 1 11 0.00000000E+00 1 0.544515491 2 0.103121184 4 0.322819918 3 -6.18366990E-03 5 3.25232595E-02 6 -2.96962429E-02 7 -1.52863208E-02 8 2.15725554E-03 9 1.06647834E-02 10 2.39867549E-02 11 1.13776149E-02
 145 1 11 0.00000000E+00 1 0.489489913 2 9.20187011E-02 4 0.376186818 3 -7.93507881E-03 5 4.51993942E-02 6 -3.59366126E-02 7 -1.67835932E-02 8 3.34179122E-03 9 1.29563073E-02 10 2.86842473E-02 11 1.27781173E-02
 204 1 11 0.00000000E+00 1 0.848205566 2 0.129166529 3 2.16906499E-02 4 -1.99852195E-02 5 2.34931172E-03 6 -5.33201359E-03 7 3.82054225E-03 9 9.11563076E-03 8 -1.94054097E-04 10 6.10938855E-03 11 5.05367247E-03
 205 1 11 0.00000000E+00 1 1.00000000 2 0.00000000E+00 3 0.00000000E+00 4 0.00000000E+00 5 0.00000000E+00 6 0.00000000E+00 7 0.00000000E+00 9 0.00000000E+00 8 0.00000000E+00 10 0.00000000E+00 11 0.00000000E+00
 206 1 11 0.00000000E+00 1 0.826700032 2 0.117331393 3 -8.49007629E-03 4 6.61241189E-02 5 2.36699940E-03 6 -4.32565203E-03 7 -4.82649123E-03 9 1.47624494E-04 8 4.77543836E-05 10 3.27182305E-03 11 1.65249489E-03
 207 1 11 0.00000000E+00 1 0.700763047 2 0.166399524 3 -3.25059774E-03 4 0.137268782 5 5.18021267E-03 6 -8.74477625E-03 7 -8.38659331E-03 9 8.17131309E-04 8 2.58855634E-05 10 6.65442320E-03 11 3.27293784E-03
 208 1 11 0.00000000E+00 1 0.607861936 2 0.173981667 3 5.60421403E-03 4 0.210748360 5 9.05800797E-03 6 -1.34647805E-02 7 -1.09357592E-02 9 2.00307276E-03 8 7.74375585E-05 10 1.02071175E-02 11 4.85870661E-03
 209 1 11 0.00000000E+00 1 0.536076546 2 0.161314353 3 1.14253908E-02 4 0.283512503 5 1.47625990E-02 6 -1.87017266E-02 7 -1.28260870E-02 9 3.67130153E-03 8 3.54867021E-04 10 1.40027795E-02 11 6.40744437E-03
 210 1 11 0.00000000E+00 1 0.478019983 2 0.140531495 4 0.352362722 3 1.20706279E-02 5 2.32064333E-02 6 -2.46134419E-02 7 -1.43877203E-02 8 9.93557507E-04 9 5.76903764E-03 10 1.81323178E-02 11 7.91497715E-03
 211 1 11 0.00000000E+00 1 0.429581761 2 0.117714673 4 0.413895667 3 8.01965967E-03 5 3.54607068E-02 6 -3.12322062E-02 7 -1.58419870E-02 8 2.10171705E-03 9 8.22521932E-03 10 2.27043666E-02 11 9.37040616E-03
 269 1 11 0.00000000E+00 1 0.590401113 2 0.331716597 3 8.28552768E-02 4 -4.21945266E-02 5 2.53276131E-03 7 1.04443142E-02 6 -9.19305161E-03 9 1.68141760E-02 8 -6.81684643E-04 10 9.41972528E-03 11 7.88528752E-03
 270 1 11 0.00000000E+00 1 0.636529386 2 0.342609197 3 3.14598978E-02 4 -2.54239999E-02 5 4.83340409E-04 6 -4.33613313E-03 7 4.29316377E-03 9 7.42428331E-03 8 -2.62080517E-04 10 3.85540561E-03 11 3.36754904E-03
 271 1 11 0.00000000E+00 1 0.664435148 2 0.331358850 3 -1.69966160E-03 4 8.02659802E-03 5 -9.67999280E-04 6 -1.06798520E-03 7 -6.77525706E-04 9 3.19581304E-04 8 -1.27679290E-04 10 2.03822303E-04 11 1.96866502E-04
 272 1 11 0.00000000E+00 1 0.613397539 2 0.329845101 3 -1.30946666E-03 4 6.80429488E-02 5 -9.01089399E-04 6 -1.73044391E-03 7 -4.85928170E-03 9 -2.49957689E-03 8 -2.90488359E-04 10 4.87254118E-04 11 -1.82487929E-04
 273 1 11 0.00000000E+00 1 0.544310749 2 0.306296647 3 1.76649466E-02 4 0.143747672 5 2.18144938E-04 6 -4.47982689E-03 7 -7.87760224E-03 9 -2.85502570E-03 8 -6.10422343E-04 10 2.78364401E-03 11 8.01056740E-04
 274 1 11 0.00000000E+00 1 0.486681342 2 0.264302015 3 3.45748663E-02 4 0.225046813 5 2.46273284E-03 6 -8.11481010E-03 7 -9.80028696E-03 9 -2.11912417E-03 8 -8.70075484E-04 10 5.72500378E-03 11 2.11151945E-03
 275 1 11 0.00000000E+00 1 0.438335478 2 0.219185159 3 4.17938977E-02 4 0.306917310 5 6.51471596E-03 6 -1.26676597E-02 7 -1.11433789E-02 9 -6.49027526E-04 8 -8.59839609E-04 10 9.05861240E-03 11 3.51472013E-03
 276 1 11 0.00000000E+00 1 0.396272987 2 0.177396759 4 0.385407597 3 3.95366922E-02 5 1.33789824E-02 6 -1.83423441E-02 7 -1.23870792E-02 8 -4.08852036E-04 9 1.40574109E-03 10 1.27942991E-02 11 4.94524278E-03
 277 1 11 0.00000000E+00 4 0.456341892 1 0.359048605 2 0.140771031 3 3.04765534E-02 5 2.44414601E-02 6 -2.52024215E-02 7 -1.38044879E-02 8 6.07563532E-04 9 3.92787950E-03 10 1.70244258E-02 11 6.36751624E-03
 278 1 11 0.00000000E+00 4 0.514979839 1 0.326199681 2 0.109576017 3 1.76361874E-02 5 4.14440632E-02 6 -3.30741480E-02 7 -1.54492892E-02 8 2.26943800E-03 9 6.79063145E-03 10 2.18841359E-02 11 7.74341449E-03
 335 1 11 0.00000000E+00 2 0.475613356 1 0.402092874 3 0.133836329 4 -4.70542312E-02 5 1.54056679E-03 7 1.25415875E-02 6 -9.17385519E-03 9 1.65430903E-02 8 -7.92708015E-04 10 8.10473505E-03 11 6.74826000E-03
 336 1 11 0.00000000E+00 2 0.590733409 1 0.366946340 3 5.68950288E-02 4 -2.82956250E-02 5 1.13693539E-04 6 -4.60241223E-03 7 4.93903179E-03 9 7.33369077E-03 8 -2.52603350E-04 10 3.30913509E-03 11 2.88027804E-03
 337 1 11 0.00000000E+00 2 0.664370775 1 0.331310183 3 -1.79166847E-03 4 8.42688046E-03 5 -1.07587886E-03 6 -1.06630544E-03 7 -7.18269323E-04 9 3.10293020E-04 8 -1.42702076E-04 10 1.85188372E-04 11 1.91491737E-04
 338 1 11 0.00000000E+00 2 0.577102602 1 0.342268229 3 2.15305202E-02 4 7.18066990E-02 5 -2.49410886E-03 6 1.90946084E-04 7 -4.64229798E-03 9 -3.71174701E-03 8 -6.03879278E-04 10 -6.16131001E-04 11 -8.30848177E-04
 339 1 11 0.00000000E+00 2 0.448424846 1 0.352858841 3 6.34212270E-02 4 0.152528152 5 -3.33172805E-03 6 -2.48382130E-04 7 -6.68797269E-03 9 -5.32009592E-03 8 -1.34503783E-03 10 3.51638242E-04 11 -6.51496055E-04
 340 1 11 0.00000000E+00 2 0.344635487 1 0.346108288 3 8.57027173E-02 4 0.240922004 5 -3.00217909E-03 6 -1.95618393E-03 7 -7.45262718E-03 9 -5.37049165E-03 8 -2.01743818E-03 10 2.30728253E-03 11 1.23136240E-04
 341 1 11 0.00000000E+00 2 0.265466213 1 0.328981042 3 8.85993466E-02 4 0.331610203 5 -9.87109728E-04 6 -5.16303256E-03 7 -7.90019426E-03 9 -4.33701091E-03 8 -2.34462949E-03 10 4.88209864E-03 11 1.19308045E-03
 342 1 11 0.00000000E+00 2 0.204127461 1 0.306841016 4 0.420306712 3 7.81661272E-02 5 3.64527316E-03 6 -1.01904403E-02 7 -8.71778000E-03 8 -2.11555697E-03 9 -2.47371872E-03 10 7.98433833E-03 11 2.42656888E-03
 343 1 11 0.00000000E+00 4 0.502216995 2 0.155552298 1 0.282863200 3 5.99524677E-02 5 1.25028854E-02 6 -1.71523057E-02 7 -1.01913689E-02 8 -1.18999358E-03 9 3.62980427E-05 10 1.16642555E-02 11 3.74530535E-03
 344 1 11 0.00000000E+00 4 0.571126103 2 0.116636805 1 0.259217143 3 3.83672565E-02 5 2.80927531E-02 6 -2.58145276E-02 7 -1.22704441E-02 8 5.01812960E-04 9 3.00950604E-03 10 1.60551220E-02 11 5.07843448E-03
 345 1 11 0.00000000E+00 4 0.619459450 2 8.56649056E-02 5 5.36126234E-02 1 0.237663656 3 1.69294272E-02 6 -3.55575792E-02 7 -1.46780908E-02 8 2.97379075E-03 9 6.23908453E-03 10 2.13467255E-02 11 6.34603621E-03
 346 1 11 0.00000000E+00 4 0.640437663 5 9.15609971E-02 2 6.16772734E-02 1 0.219600052 3 -1.69713388E-03 6 -4.55022790E-02 7 -1.70510244E-02 8 6.24237629E-03 9 9.51662753E-03 10 2.77524106E-02 11 7.46306125E-03
