points0.pts
zone0.inf
 152 271
 38
PP0
PP1
PP2
PP3
PP4
PP5
PP6
PP7
PP8
PP9
PP10
PP11
PP12
PP13
PP14
PP15
PP16
PP17
PP18
PP19
PP20
PP21
PP22
PP23
PP24
PP25
PP26
PP27
PP28
PP29
PP30
PP31
PP32
PP33
PP34
PP35
PP36
PP37
 172 1 11 0.00000000E+00 1 1.00000000 2 0.00000000E+00 3 0.00000000E+00 4 0.00000000E+00 5 0.00000000E+00 6 0.00000000E+00 7 0.00000000E+00 8 0.00000000E+00 9 0.00000000E+00 10 0.00000000E+00 11 0.00000000E+00
 173 1 11 0.00000000E+00 1 0.943567097 2 2.04148330E-03 3 5.42858206E-02 4 -9.72146820E-03 5 5.48151461E-03 6 -1.05899072E-03 7 2.02605361E-03 8 2.01297808E-03 9 -8.47836607E-04 10 -7.15989270E-04 11 2.92932638E-03
 322 1 11 0.00000000E+00 1 0.783222377 2 0.219285488 3 1.91544869E-03 4 -4.25082818E-03 5 -6.06502499E-03 6 -1.07536488E-03 7 2.10483253E-04 8 1.31439907E-03 9 -8.19426714E-05 10 5.78274834E-04 11 4.94667189E-03
 323 1 11 0.00000000E+00 1 0.845617354 2 0.142712623 3 2.03491896E-02 4 -5.18869655E-03 5 -4.22660960E-03 6 -7.86718680E-04 7 -9.87441163E-05 8 3.32450145E-04 9 -1.72590764E-04 10 1.29107793E-05 11 1.44883723E-03
 324 1 11 0.00000000E+00 1 0.885137260 2 7.85737634E-02 3 4.67565320E-02 4 -7.16492021E-03 5 -1.27811695E-03 6 -7.83371623E-04 7 1.48394305E-04 8 2.95960308E-05 9 -4.33641922E-04 10 -5.14216779E-04 11 -4.71288280E-04
 325 1 11 0.00000000E+00 1 0.871574759 2 4.81721312E-02 3 9.03253630E-02 4 -1.30809452E-02 5 3.42950784E-03 6 -1.39885792E-03 7 1.46562781E-03 8 1.09012949E-03 9 -1.04261050E-03 10 -1.09885365E-03 11 5.63720241E-04
 472 1 11 0.00000000E+00 1 0.589192033 2 0.423299164 3 -1.61639936E-02 4 -1.09620357E-03 5 -9.05053690E-03 6 -1.73593755E-03 7 7.29684485E-04 8 2.66494369E-03 9 -9.14246557E-05 10 1.67981803E-03 11 1.05724744E-02
 473 1 11 0.00000000E+00 1 0.641996682 2 0.359134704 3 5.66295395E-03 4 -5.79776242E-03 5 -8.35158397E-03 6 -1.49688101E-03 7 2.20858856E-04 8 1.57475681E-03 9 -1.67662249E-04 10 8.29976983E-04 11 6.39398349E-03
 474 1 11 0.00000000E+00 1 0.696115315 2 0.287598312 3 3.01146638E-02 4 -8.39462690E-03 5 -7.29436800E-03 6 -1.32422184E-03 7 -1.36241812E-04 8 6.42212457E-04 9 -2.79870699E-04 10 1.23691789E-04 11 2.83514266E-03
 475 1 11 0.00000000E+00 1 0.744011819 2 0.215553269 3 5.83558790E-02 4 -1.01332264E-02 5 -5.55750402E-03 6 -1.27358106E-03 7 -2.12111030E-04 8 2.46665022E-05 9 -4.67461097E-04 10 -4.72518965E-04 11 1.70794869E-04
 476 1 11 0.00000000E+00 1 0.772776604 2 0.153436154 3 9.33121294E-02 4 -1.26760751E-02 5 -2.71671289E-03 6 -1.46563840E-03 7 2.14872984E-04 8 2.70148416E-06 9 -8.02861119E-04 10 -1.00994133E-03 11 -1.07121945E-03
 477 1 11 0.00000000E+00 1 0.773544490 2 0.108812265 3 0.136575446 4 -1.71923656E-02 5 1.58622081E-03 6 -1.97848119E-03 7 1.29869697E-03 8 7.69138336E-04 9 -1.33909122E-03 10 -1.53058395E-03 11 -5.45757299E-04
 479 1 11 0.00000000E+00 1 0.725611091 2 5.46680465E-02 3 0.231088519 4 -2.99970955E-02 5 1.47888558E-02 6 -3.48482816E-03 7 4.88461368E-03 8 3.84855457E-03 9 -2.82221218E-03 10 -2.50643748E-03 11 3.92088294E-03
 481 1 11 0.00000000E+00 1 0.664854646 3 0.311665058 2 1.83297954E-02 4 -4.34343480E-02 5 3.40408124E-02 6 -4.91209980E-03 7 9.51340795E-03 8 7.75888516E-03 9 -4.57041711E-03 10 -3.37181194E-03 11 1.01260673E-02
 622 1 11 0.00000000E+00 2 0.585794270 1 0.428476840 3 -4.48309965E-02 4 1.64453313E-02 5 -1.03138536E-02 6 -2.21403432E-03 7 1.48967293E-03 8 4.05168999E-03 9 -3.65652486E-05 10 3.58972652E-03 11 1.75479371E-02
 623 1 11 0.00000000E+00 2 0.549680293 1 0.463957965 3 -2.43931692E-02 4 3.97012988E-03 5 -9.79396980E-03 6 -1.92446250E-03 7 8.83964822E-04 8 2.91393278E-03 9 -1.06679567E-04 10 2.32588197E-03 11 1.24861337E-02
 624 1 11 0.00000000E+00 1 0.505938649 2 0.498237312 3 1.50148640E-04 4 -4.48254729E-03 5 -9.40178707E-03 6 -1.72062661E-03 7 3.43196123E-04 8 1.86032557E-03 9 -1.97660120E-04 10 1.25375111E-03 11 8.01924802E-03
 625 1 11 0.00000000E+00 1 0.552169204 2 0.433961481 3 2.87166554E-02 4 -9.37779993E-03 5 -8.97148531E-03 6 -1.61240331E-03 7 -8.64568428E-05 8 9.37331934E-04 9 -3.21164232E-04 10 3.65227781E-04 11 4.21940209E-03
 626 1 11 0.00000000E+00 1 0.598300993 2 0.361997336 3 6.12264872E-02 4 -1.19200321E-02 5 -8.22311547E-03 6 -1.60930003E-03 7 -3.28826602E-04 8 2.21570081E-04 9 -4.93499218E-04 10 -3.62736551E-04 11 1.19114225E-03
 627 1 11 0.00000000E+00 1 0.637857020 2 0.289339423 3 9.80072990E-02 4 -1.36374179E-02 5 -6.79544825E-03 6 -1.73796155E-03 7 -2.76584615E-04 8 -1.64483354E-04 9 -7.42570322E-04 10 -9.64836683E-04 11 -8.84408422E-04
 628 1 11 0.00000000E+00 1 0.663547933 2 0.223326564 3 0.139660344 4 -1.59495939E-02 5 -4.29740734E-03 6 -2.04240112E-03 7 1.95885645E-04 8 -7.61878982E-05 9 -1.10605720E-03 10 -1.48152083E-03 11 -1.77758432E-03
 629 1 11 0.00000000E+00 1 0.671452105 2 0.168623984 3 0.185773522 4 -1.96928345E-02 5 -3.90751433E-04 6 -2.53974344E-03 7 1.16131676E-03 8 5.61954803E-04 9 -1.60750386E-03 10 -1.94695254E-03 11 -1.39510282E-03
 630 1 11 0.00000000E+00 1 0.664068282 2 0.125188753 3 0.233926594 4 -2.48770099E-02 5 5.14382869E-03 6 -3.18097323E-03 7 2.58593168E-03 8 1.68666465E-03 9 -2.23736418E-03 10 -2.37850822E-03 11 7.38308663E-05
 631 1 11 0.00000000E+00 1 0.647178471 3 0.280795693 2 9.04059708E-02 4 -3.10279112E-02 5 1.24376379E-02 6 -3.88645171E-03 7 4.38407622E-03 8 3.16351000E-03 9 -2.96993647E-03 10 -2.78369314E-03 11 2.30264897E-03
 632 1 11 0.00000000E+00 1 0.625732124 3 0.323616654 2 6.18657321E-02 4 -3.76192108E-02 5 2.15654448E-02 6 -4.58677439E-03 7 6.48215553E-03 8 4.88103274E-03 9 -3.78418365E-03 10 -3.17125092E-03 11 5.01828734E-03
 633 1 11 0.00000000E+00 1 0.602838933 3 0.360591769 2 3.80723774E-02 4 -4.42313179E-02 5 3.25309895E-02 6 -5.23395464E-03 7 8.83545261E-03 8 6.77100848E-03 9 -4.66812681E-03 10 -3.55061749E-03 11 8.04349314E-03
