points0.pts
zone0.inf
 66 136
 31
HK_QA0
HK_QA1
HK_QA2
HK_QA3
HK_QA4
HK_QA5
HK_QA6
HK_QA7
HK_QA8
HK_QA9
HK_QA10
HK_QA11
HK_QA12
HK_QA13
HK_QA14
HK_QA15
HK_QA16
HK_QA17
HK_QA18
HK_QA19
HK_QA20
HK_QA21
HK_QA22
HK_QA23
HK_QA24
HK_QA25
HK_QA26
HK_QA27
HK_QA28
HK_QA29
HK_QA30
 75 1 12 0.00000000E+00 1 0.808452427 2 3.38417515E-02 3 -1.87797584E-02 4 0.136257306 5 1.64248645E-02 6 -1.76644418E-02 7 -8.61577410E-03 9 1.06102750E-02 8 2.28414568E-03 10 5.17293951E-03 11 4.29234141E-03 12 2.77239047E-02
 76 1 12 0.00000000E+00 1 0.728716910 2 5.61339855E-02 3 -1.92603022E-02 4 0.190448567 5 2.15976611E-02 6 -2.18006130E-02 7 -1.13089392E-02 9 1.08263213E-02 8 2.87179369E-03 10 6.35904400E-03 11 4.24016267E-03 12 3.11753917E-02
 139 1 13 0.00000000E+00 1 0.956071734 2 -2.13165721E-03 3 -3.69876344E-03 4 2.46401075E-02 5 4.91273496E-03 6 -6.33998122E-03 7 -1.21374021E-03 9 2.38162419E-03 8 1.01032108E-03 10 2.11050571E-03 11 -1.54133159E-04 12 1.08518088E-02 13 1.15594184E-02
 140 1 12 0.00000000E+00 1 0.889759541 2 3.08449101E-02 3 -1.24587808E-02 4 7.43895993E-02 5 6.95543550E-03 6 -8.89924355E-03 7 -5.10916905E-03 9 5.00573823E-03 8 9.82742873E-04 10 2.47638975E-03 11 2.23118905E-03 12 1.38216224E-02
 141 1 12 0.00000000E+00 1 0.783008754 2 7.74776265E-02 3 -1.36359679E-02 4 0.135079578 5 1.01594971E-02 6 -1.27885900E-02 7 -8.57789163E-03 9 4.86866478E-03 8 1.31380989E-03 10 3.48344143E-03 11 2.33696331E-03 12 1.72740929E-02
 142 1 12 0.00000000E+00 1 0.687183917 2 0.102317803 3 -1.06484154E-02 4 0.198967695 5 1.47241820E-02 6 -1.73384268E-02 7 -1.13093965E-02 9 5.53708151E-03 8 1.76996784E-03 10 4.70331497E-03 11 2.50920281E-03 12 2.15830561E-02
 143 1 12 0.00000000E+00 1 0.607471347 2 0.108305097 3 -7.60402484E-03 4 0.262273163 5 2.11507287E-02 6 -2.23664176E-02 7 -1.34402728E-02 8 2.44291592E-03 9 6.72050891E-03 10 6.12126291E-03 11 2.64009694E-03 12 2.62856074E-02
 144 1 12 0.00000000E+00 1 0.541282296 2 0.102912873 4 0.321974576 3 -6.74829632E-03 5 3.01225204E-02 6 -2.78639719E-02 7 -1.51652107E-02 8 3.43453977E-03 9 8.30089953E-03 10 7.77694350E-03 11 2.68608914E-03 12 3.12867202E-02
 145 1 12 0.00000000E+00 1 0.485708416 2 9.17750597E-02 4 0.375198156 3 -8.59546196E-03 5 4.23915051E-02 6 -3.37936021E-02 7 -1.66419446E-02 8 4.83569317E-03 9 1.01915272E-02 10 9.72537789E-03 11 2.61257729E-03 12 3.65926996E-02
 204 1 13 0.00000000E+00 1 0.845995247 2 0.128988832 3 2.10358556E-02 4 -2.03935485E-02 5 1.37699780E-03 6 -4.27294383E-03 7 3.75673035E-03 9 4.17564996E-03 8 4.26919927E-04 10 1.12713093E-03 11 -1.61010117E-04 12 7.70541001E-03 13 1.02387248E-02
 205 1 13 0.00000000E+00 1 1.00000000 2 0.00000000E+00 3 0.00000000E+00 4 0.00000000E+00 5 0.00000000E+00 6 0.00000000E+00 7 0.00000000E+00 9 0.00000000E+00 8 0.00000000E+00 10 0.00000000E+00 11 0.00000000E+00 12 0.00000000E+00 13 0.00000000E+00
 206 1 13 0.00000000E+00 1 0.825957477 2 0.117274910 3 -8.68553855E-03 4 6.59714788E-02 5 1.97935337E-03 6 -3.95221263E-03 7 -4.83455881E-03 9 -1.20881503E-03 8 2.79369066E-04 10 1.04183098E-03 11 -1.65666177E-04 12 3.83643573E-03 13 2.50594039E-03
